hatchery,comid,month,historic_flow,future_flow,flow_change_factor,pct_flow_change
Oak Springs Hatchery,23719075,1,15002361.365003815,18559770.974308062,-3557409.6093042474,-23.71
Oak Springs Hatchery,23719075,2,17036154.99629762,21002612.94210878,-3966457.94581116,-23.28
Oak Springs Hatchery,23719075,3,18022569.055894673,21297275.966279007,-3274706.9103843346,-18.17
Oak Springs Hatchery,23719075,4,18617556.965999603,20724630.11046416,-2107073.144464556,-11.32
Oak Springs Hatchery,23719075,5,18991249.353535317,18906359.33799443,84890.01554088667,0.45
Oak Springs Hatchery,23719075,6,18976498.655775752,15968032.364291564,3008466.2914841883,15.85
Oak Springs Hatchery,23719075,7,15147837.54417847,11208644.431872012,3939193.112306457,26
Oak Springs Hatchery,23719075,8,10329173.020530703,7743479.838181963,2585693.1823487394,25.03
Oak Springs Hatchery,23719075,9,7446803.801159797,6006532.620249366,1440271.1809104308,19.34
Oak Springs Hatchery,23719075,10,6507620.921842829,5706633.426280491,800987.4955623383,12.31
Oak Springs Hatchery,23719075,11,8503416.777674688,8709433.62645018,-206016.84877549112,-2.42
Oak Springs Hatchery,23719075,12,12148925.907426693,14063159.891342636,-1914233.9839159437,-15.76
Oak Springs Hatchery,23722389,1,2271.2370659087196,2462.523733913674,-191.2866680049542,-8.42
Oak Springs Hatchery,23722389,2,2651.8594332985476,2745.3622067312717,-93.5027734327241,-3.53
Oak Springs Hatchery,23722389,3,2603.265178286524,2573.9573922964337,29.30778599009045,1.13
Oak Springs Hatchery,23722389,4,2192.581569276432,2208.086213430252,-15.504644153819754,-0.71
Oak Springs Hatchery,23722389,5,1813.6141465101725,1820.9371366660089,-7.322990155836351,-0.4
Oak Springs Hatchery,23722389,6,1559.7157353703105,1553.9381834051524,5.777551965158182,0.37
Oak Springs Hatchery,23722389,7,1354.4983845779698,1350.3712351674492,4.1271494105205875,0.3
Oak Springs Hatchery,23722389,8,1211.547280711532,1212.6899854938747,-1.142704782342662,-0.09
Oak Springs Hatchery,23722389,9,1126.3430601116727,1124.2719151048473,2.071145006825418,0.18
Oak Springs Hatchery,23722389,10,1120.7685452280941,1124.3075002750209,-3.5389550469267306,-0.32
Oak Springs Hatchery,23722389,11,1290.0339195700433,1341.7384905733973,-51.704571003353976,-4.01
Oak Springs Hatchery,23722389,12,1717.519587431552,1831.882494892842,-114.36290746128998,-6.66
Leaburg Hatchery,23772865,1,17288719.474730358,19604051.286379144,-2315331.811648786,-13.39
Leaburg Hatchery,23772865,2,16821348.433052894,19478743.00316689,-2657394.570113998,-15.8
Leaburg Hatchery,23772865,3,15095548.137821646,17423174.90725458,-2327626.769432934,-15.42
Leaburg Hatchery,23772865,4,13949155.062120806,15590433.805654945,-1641278.7435341384,-11.77
Leaburg Hatchery,23772865,5,12874308.46850314,12990305.600272054,-115997.13176891394,-0.9
Leaburg Hatchery,23772865,6,11650981.187213868,9897392.174198568,1753589.0130153,15.05
Leaburg Hatchery,23772865,7,9005012.578946063,6510618.956543252,2494393.6224028114,27.7
Leaburg Hatchery,23772865,8,5722057.172518946,3760690.477097082,1961366.6954218643,34.28
Leaburg Hatchery,23772865,9,3653022.858229808,2271458.712927035,1381564.145302773,37.82
Leaburg Hatchery,23772865,10,3870739.4503456177,2846001.8801317513,1024737.5702138664,26.47
Leaburg Hatchery,23772865,11,8647470.154863678,8784887.963550352,-137417.80868667364,-1.59
Leaburg Hatchery,23772865,12,14973956.208059633,16487370.614990316,-1513414.4069306832,-10.11
Alsea Hatchery,23886436,1,997999.8664452682,1047338.1146651187,-49338.24821985059,-4.94
Alsea Hatchery,23886436,2,988714.5549121308,1015897.6609256446,-27183.106013513752,-2.75
Alsea Hatchery,23886436,3,831848.9451397643,848075.6873377073,-16226.74219794292,-1.95
Alsea Hatchery,23886436,4,621798.925169827,630973.7237914194,-9174.798621592461,-1.48
Alsea Hatchery,23886436,5,343262.9009128643,333714.47863211896,9548.422280745348,2.78
Alsea Hatchery,23886436,6,174845.3761795014,159062.19536090016,15783.18081860125,9.03
Alsea Hatchery,23886436,7,92696.04193055755,82330.81881401785,10365.223116539695,11.18
Alsea Hatchery,23886436,8,55369.06203351034,49471.78328377762,5897.278749732715,10.65
Alsea Hatchery,23886436,9,61563.07434461238,52092.518885340876,9470.555459271505,15.38
Alsea Hatchery,23886436,10,126721.46571252489,124000.095405183,2721.3703073418874,2.15
Alsea Hatchery,23886436,11,387487.12059713574,432002.4867652152,-44515.36616807943,-11.49
Alsea Hatchery,23886436,12,809780.7537453236,869950.4532211546,-60169.699475831,-7.43
Rock Creek Hatchery,23894140,1,7936774.164426096,9131859.201196862,-1195085.0367707666,-15.06
Rock Creek Hatchery,23894140,2,8617964.306867898,9988279.519692078,-1370315.2128241807,-15.9
Rock Creek Hatchery,23894140,3,8160317.427261434,9165847.162000528,-1005529.734739094,-12.32
Rock Creek Hatchery,23894140,4,7728476.459051351,8239782.093153728,-511305.6341023771,-6.62
Rock Creek Hatchery,23894140,5,6918029.591756587,6412210.5603651,505819.0313914865,7.31
Rock Creek Hatchery,23894140,6,6013735.4472020585,4375352.81654567,1638382.6306563886,27.24
Rock Creek Hatchery,23894140,7,3905330.2646417627,2407387.7391785206,1497942.525463242,38.36
Rock Creek Hatchery,23894140,8,2052192.7285319718,1315042.5893715897,737150.1391603821,35.92
Rock Creek Hatchery,23894140,9,1291901.9953827686,943986.8337705937,347915.1616121748,26.93
Rock Creek Hatchery,23894140,10,1465048.6841665588,1268858.9002109263,196189.78395563248,13.39
Rock Creek Hatchery,23894140,11,3342314.805357475,3514188.745795382,-171873.94043790735,-5.14
Rock Creek Hatchery,23894140,12,6052962.802642094,6732163.939338265,-679201.136696171,-11.22
Rock Creek Hatchery,23894752,1,1558238.6300482017,1624157.8378444256,-65919.20779622393,-4.23
Rock Creek Hatchery,23894752,2,1593926.254953156,1637232.4656084327,-43306.21065527666,-2.72
Rock Creek Hatchery,23894752,3,1390955.9269125254,1384345.8459955107,6610.08091701474,0.48
Rock Creek Hatchery,23894752,4,1135922.1510894715,1112342.0155880735,23580.135501398006,2.08
Rock Creek Hatchery,23894752,5,730350.4436600552,690137.4349453123,40213.00871474284,5.51
