hatchery,date,historic_flow,future_flow,flow_change_factor,pct_flow_change
Alsea Hatchery,1915-01-01,739878.6551551928,785843.8740328941,-45965.21887770132,-6.21
Alsea Hatchery,1916-01-01,1030925.5926664617,1132220.515768558,-101294.9231020963,-9.83
Alsea Hatchery,1917-01-01,520960.97872482904,545549.035751318,-24588.05702648894,-4.72
Alsea Hatchery,1918-01-01,1528188.997365586,1586513.1338521927,-58324.13648660667,-3.82
Alsea Hatchery,1919-01-01,827865.6344975074,872229.619326106,-44363.98482859868,-5.36
Alsea Hatchery,1920-01-01,639783.8664860195,661581.5088147685,-21797.64232874906,-3.41
Alsea Hatchery,1921-01-01,1602690.8973174992,1659798.2629026857,-57107.36558518652,-3.56
Alsea Hatchery,1922-01-01,612974.0738242294,647710.5440280124,-34736.470203783014,-5.67
Alsea Hatchery,1923-01-01,1615510.9843783078,1682946.7811188293,-67435.79674052144,-4.17
Alsea Hatchery,1924-01-01,555127.6822524613,587845.1336697015,-32717.451417240198,-5.89
Alsea Hatchery,1925-01-01,1055468.3970852783,1098217.95991995,-42749.5628346717,-4.05
Alsea Hatchery,1926-01-01,535365.3647603082,553981.9100095016,-18616.54524919344,-3.48
Alsea Hatchery,1927-01-01,1244978.659890987,1309104.2573621417,-64125.59747115476,-5.15
Alsea Hatchery,1928-01-01,757864.1739112654,793232.4467469382,-35368.27283567272,-4.67
Alsea Hatchery,1929-01-01,690287.7490052633,720161.597965608,-29873.84896034468,-4.33
Alsea Hatchery,1930-01-01,371380.3190358348,391833.2993181501,-20452.980282315286,-5.51
Alsea Hatchery,1931-01-01,421838.2554837872,443721.1499942903,-21882.8945105031,-5.19
Alsea Hatchery,1932-01-01,1221864.4014293496,1274272.3486845738,-52407.94725522422,-4.29
Alsea Hatchery,1933-01-01,1439711.7723910725,1521848.3237781832,-82136.55138711073,-5.71
Alsea Hatchery,1934-01-01,1769721.431804611,1820614.244860934,-50892.81305632298,-2.88
Alsea Hatchery,1935-01-01,1415068.5951257215,1517177.3305725146,-102108.73544679303,-7.22
Alsea Hatchery,1936-01-01,1249690.0824831172,1308912.3845588833,-59222.30207576603,-4.74
Alsea Hatchery,1937-01-01,412578.29356257484,442986.6459971319,-30408.352434557048,-7.37
Alsea Hatchery,1938-01-01,1258162.613589797,1312593.4136315614,-54430.80004176451,-4.33
Alsea Hatchery,1939-01-01,552763.3736672568,579213.8428514267,-26450.469184169895,-4.79
Alsea Hatchery,1940-01-01,710133.9848345459,733930.0034141757,-23796.018579629832,-3.35
Alsea Hatchery,1941-01-01,769422.9412620298,806117.6209232233,-36694.67966119351,-4.77
Alsea Hatchery,1942-01-01,890118.3406881326,927730.0296220056,-37611.68893387308,-4.23
